Text,Place,Perpetrator,Date,Gang violence,Sexual violence,Famine
"Gun fights took place in Gressier on 23 May between police officers and gangs. Since the gangs briefly took control of the commune on 12 May, instability has remained in the area. On 19 May, several gang members were killed in the shootings.",Gressier,N/A,19 May,Yes,No,No
"Three missionaries, two US citizens and one Haitian, were shot by gang members in Port-au-Prince on 23 May.",Port-au-Prince,N/A,23 May,Yes,No,No
"Members of the gang “400 Mawozo” carried out an attack on the commune of Thomazeau on 21 May, leading to the death of four people and the burning of a dozen homes.",Thomazeau,"400 Mawozo",21 May,Yes,No,No
"A tornado in the commune of Bassin-Bleu led to at least 36 injured and resulted in a lot of damage.",Bassin-Bleu,N/A,N/A,No,No,Yes
"The shortage of medicine and supplies is worsening, with painkillers and anesthetics starting to run out and over 30 health facilities and hospitals have closed in Port-au-Prince.",Port-au-Prince,N/A,N/A,No,No,Yes
"Médecins Sans Frontières (MSF) stated that it has not been possible to import supplies into Haiti since mid-March and urged armed groups and authorities to facilitate the delivery of medical supplies.",N/A,N/A,Mid-March,No,No,Yes
"A vaccination campaign against Diphtheria is ongoing in the departments of Artibonite, Center, Grande-Anse, Nippes, North, North-East, South, and South-East, targeting 348,680 children.",N/A,N/A,N/A,No,No,No
"The Apostolic Nuncio of the Vatican Catholic church has been transferred from Haiti.",Haiti,N/A,N/A,No,No,No
"The truce between gangs in Cité-Soleil was broken on 12 September due to disagreements related to a penalty in a football match. It is not yet clear how many people have been killed in the unrest that has followed, although it has been reported that the second leader of Simon Pelé’s gang has died.", Cité-Soleil, N/A, 12 September, Yes, No, No
"The clashes in Cité-Soleil and Delmas have displaced 2,300 people.", Cité-Soleil and Delmas, N/A, N/A, Yes, No, No
"27 people died and over 30 were injured in an accidental fuel tanker explosion in Miragoâne.", Miragoâne, N/A, N/A, No, No, No
"The state of emergency has been extended to 3 May, with the curfew extended to 17 April.",N/A,N/A,"3 May, 17 April",No,No,No
"Gang leaders are demanding a seat on the Presidential Transitional Council, and are ready to use violence until they are part of discussions concerning the future of the country.",N/A,"Gang leaders",N/A,Yes,No,No
"Gangs have now also taken control of maritime routes, with increased incidences of theft, boat hijackings, and kidnappings in Haitian territorial waters.",Haitian territorial waters,"Gangs",N/A,Yes,No,No
"Haiti’s international airport, Toussaint Louverture in Port-au-Prince, is not likely to allow any flights in or out of Haiti anytime soon.",Port-au-Prince,N/A,N/A,No,No,No
"The Guy Malary National Airport also remains closed.",Port-au-Prince,N/A,N/A,No,No,No
"Two gang members were killed by the Haitian National Police (PNH) on 15 April, while another person was lynched in Mirebalais by the public for allegedly possessing a firearm and ammunition.",Mirebalais,"Haitian National Police, Public",15 April,Yes,No,No
"1,370 cases of rape were reported in 11 months in the Arbonite department in central Haiti.",Arbonite department,N/A,"11 months",No,Yes,No
"The public seaport is closed as hundreds of cargo containers are under control of the gangs.",Port-au-Prince,"Gangs",N/A,Yes,No,No
"The national library of Haiti was stormed and looted on 3 April. Previously, the National School of Art was attacked on 28 March.",Haiti,N/A,"3 April, 28 March",Yes,No,No
"The majority of districts in Cité Soleil are flooded due to extensive rainfall in the capital city.",Cité Soleil,N/A,N/A,No,No,No
"Haiti is facing a fuel shortage as petrol stations are either closed due to increased insecurity or under control of gangs who supply the black market.",Haiti,"Gangs",N/A,Yes,No,Yes
"15 Tons of medical supplies landed in Haiti on 12 April.",Haiti,N/A,12 April,No,No,No
"A malaria outbreak has emerged in four communes in the South department.",South department,N/A,N/A,No,No,No
"22,500 displaced people from Port-au-Prince have found refuge in Les Cayes.",Port-au-Prince,"Displaced people",N/A,No,No,Yes
"Approximately 10 people were killed in an attack by armed men on the public market of Cabaret Archaie in the West Department on 11 April.",Cabaret Archaie,"Armed men",11 April,Yes,No,No
"La Paix University Hospital is not able to respond to the increasing number of patients.",Port-au-Prince,N/A,N/A,No,No,No
"Pregnant women are giving birth in dire situations as many clinics are closed and the journey to the ones that are still open may be dangerous.",Haiti,N/A,N/A,No,No,Yes
"Journalists have increasingly been victims of attacks, kidnappings, and killings.",Haiti,"Unknown",N/A,Yes,No,No
"Gang leader Johnson Andre, aka Izo, has been using social media to recruit soldiers and spread messages of terror.",N/A,Johnson Andre,N/A,Yes,Yes,No
"A state of emergency was declared in 14 gang-controlled municipalities.",14 municipalities,N/A,N/A,Yes,No,No
"Members of the '400 Mawozo' gang attacked the police station in Ganthier on 21 July, setting fire to part of the station.",Ganthier,"400 Mawozo",21 July,Yes,No,No
"The PNH has been deployed in Gressier, Léogâne, and Ganthier to counteract threats from gang members.",Gressier,PNH,N/A,Yes,No,No
"A boat carrying Haitian migrants caught fire off the northern coast of Haiti, leading to the death of at least 40 people.",Northern coast of Haiti,N/A,N/A,No,No,No
"Transport between Port-au-Prince and the Southern departments has been halted.",Southern departments,N/A,N/A,No,No,No
"A key port in Port-au-Prince was recaptured from gangs by the National Haitian Police Force and Kenyan officers on 17 July.",Port-au-Prince,"PNH, Kenyan officers",17 July,Yes,No,No
"Between March and July 2024, the number of internally displaced children in Haiti increased by 60%.",Haiti,N/A,"March - July 2024",No,No,Yes
"In Haiti’s Northeast Department, public hospitals are severely understaffed and under-resourced.",Northeast Department,N/A,N/A,No,No,Yes
"A number of attacks took place in Port-au-Prince on 1 and 2 May in the neighbourhoods of Solino and Delmas, among others. During the attacks there was heavy exchange of gunfire, and houses were set on fire, leaving many residents homeless.",Port-au-Prince,N/A,"1-2 May",Yes,No,No
"Gressier, a city south of Port-au-Prince was attacked by the gangs on 13 May before being recaptured by the National Police Force.",Gressier,"Gangs",13 May,Yes,No,No
"Protestors attempted to set fire to the customs office in Cap Haïtien, expressing their dissatisfaction to rising customs clearance fees, impacting the livelihoods of small traders.",Cap Haïtien,"Protestors",N/A,No,No,No
"The medical director of the sanatorium hospital, Dr. Jean Ardouin Louis Charles, has urged authorities to identify and treat patients with tuberculosis, especially among IDPs.",Haiti,N/A,N/A,No,No,Yes
"Gender-based violence was 5 times higher in March 2024 than in January and February 2024 combined, with 75% of cases concerning sexual violence, and 78% of victims being displaced people.",Haiti,N/A,"March 2024",No,Yes,No
"The humanitarian crisis and low supply of basic goods has led to more child recruitment in gangs, and women engaging in sex work.",Haiti,"Gangs",N/A,Yes,Yes,Yes
"Up to 400 houses have been destroyed around the Toussaint Louverture airport to increase security around the airport.",Port-au-Prince,N/A,N/A,No,No,No
"The practice of Vodou, a religion originating from West Africa that was at the core of the Haitian revolution, has increased as a response to the rising insecurity and humanitarian crisis in Haiti.",Haiti,N/A,N/A,No,No,Yes
"Haitians have been demanding the resignation of director of Haiti’s National Police, Frantz Elbé, accusing him of being incapable and even complicit with gangs.",Haiti,Frantz Elbé,N/A,Yes,No,No
"The CPT wrote to Kenyan President Ruto on 6 May stating that they were taking over the file of the MSS mission and were awaiting the Kenyan contribution.",Haiti,"CPT",6 May,No,No,No
"The US military is setting up a base in Port-au-Prince from where the Kenyan police officers will be able to operate.",Port-au-Prince,"US Military",N/A,No,No,No
"Over the weekend of 11 and 12 May, the first team of the MSS mission, consisting of 200 members, was told to be on standby for departure.",N/A,"MSS Mission",11-12 May,No,No,No
"A team of top Kenyan security officials visited Washington from 6 to 11 May for a series of meetings and agreements on the deployment.",Washington,"Kenyan officials",6-11 May,No,No,No
"The deployment was originally estimated to start around 23 May, coinciding with a visit from President Ruto to the White House.",Haiti,"President Ruto",23 May,No,No,No
"The coalition of gangs called 'Vivre Ensemble' has been organising demonstrations against the arrival of the MSS mission.",Haiti,"Vivre Ensemble",N/A,Yes,No,No
"Jimmy Chérizier, Haiti’s most prominent gang leader known as Barbecue, has stated that the consortium of gang 'Vivre Ensemble' is preparing for a long fight with the international support force.",Haiti,"Jimmy Chérizier",N/A,Yes,No,No
"Former senators Jean-Charles Moïse and Guy Philippe have formed an alliance to overthrow the current government.",Haiti,"Jean-Charles Moïse, Guy Philippe",N/A,Yes,No,No
"9 people were killed as a minibus was heavily shot at by members of the '400 Mawozo' gang in Morne à Cabrit on 18 February.",Morne à Cabrit,"400 Mawozo",18 February,Yes,No,No
"Access to the airport in Jérémie has been blocked since Sunday 18 February.",Jérémie,"Unknown",18 February,No,No,No
"5 Agents of the Protected Areas Security Brigade (BSAP) were killed by National Haitian Police (PNH) agents during a protest on 7 February in Pétillon-Ville.",Pétillon-Ville,"PNH agents",7 February,Yes,No,No
"The Dominican Republic has reinforced its border with equipment and soldiers as a response to violent outbreaks in Ouanaminthe.",Ouanaminthe,"Dominican Republic",N/A,Yes,No,No
"Gang members have been using sexual violence against women and girls as a weapon, according to the UN.",Haiti,"Gangs",N/A,No,Yes,No
"1,108 people were killed, kidnapped or injured in Haiti in January 2024, 300 of which were gang members.",Haiti,"Gangs",January 2024,Yes,No,No
"More than 8,000 people are displaced within Port-au-Prince as a consequence of gang violence.",Port-au-Prince,N/A,N/A,Yes,No,Yes
"167 Children were killed and injured by bullets in Haiti in 2023.",Haiti,N/A,2023,Yes,No,No
"UNICEF urged all parties taking part in the violence in Port-au-Prince to ensure the protection of children.",Port-au-Prince,"UNICEF",N/A,Yes,No,No
"The success rate of state exams has declined by 10-20% in the past 10 years.",Haiti,N/A,N/A,No,No,No
"The number of people experiencing suicidal thoughts is at an unprecedented high according to the emergency psychotherapeutic intervention center in Haiti.",Haiti,N/A,N/A,No,No,No
"Joseph Vincent, a Haitian-American, has been sentenced to life imprisonment after pleading guilty for conspiring in the murder of the president Jovenel Moïse.",Haiti,"Joseph Vincent",N/A,No,No,No
"A report was published by the Global Initiative against Transnational Crime on Haiti’s gang crisis and international responses.",Haiti,"Global Initiative",N/A,Yes,No,No
"The Haitian National Police (PNH) intercepted a convoy of armed vehicles near Croix-des-Bouquets, recovering firearms and arresting five gang members.",Croix-des-Bouquets,N/A,N/A,Yes,No,No
"A fire broke out in a makeshift camp for displaced people in Delmas, leaving 40 families homeless and destroying essential supplies.",Delmas,N/A,N/A,No,No,Yes
"Members of the 'Vivre Ensemble' gang attacked a police checkpoint in Pétion-Ville, injuring three officers and stealing ammunition.",Pétion-Ville,'Vivre Ensemble',N/A,Yes,No,No
"At least 15 women were abducted from a market in Cité Soleil during a gang raid, with reports of sexual violence emerging.",Cité Soleil,N/A,N/A,Yes,Yes,No
"A humanitarian convoy carrying medical supplies was ambushed by armed men near Léogâne, leading to the loss of critical resources.",Léogâne,N/A,N/A,Yes,No,Yes
"The destruction of irrigation systems by armed groups in Artibonite has caused a significant decline in local food production.",Artibonite,N/A,N/A,No,No,Yes
"Violent clashes in Gonaïves between rival gangs led to 12 deaths and several injuries, disrupting life in the city.",Gonaïves,N/A,N/A,Yes,No,No
"Schools in Port-de-Paix remain closed due to the ongoing threat of violence, leaving thousands of children without education.",Port-de-Paix,N/A,N/A,No,No,No
"Armed men stormed a church in Kenscoff during Sunday mass, taking hostages and demanding ransom from families.",Kenscoff,N/A,N/A,Yes,No,No
"A shipment of international food aid destined for Cap-Haïtien was looted by gang members, worsening the region's food insecurity.",Cap-Haïtien,N/A,N/A,Yes,No,Yes
"A public health crisis is emerging in Les Cayes as hospitals run out of basic supplies, leaving pregnant women without proper care.",Les Cayes,N/A,N/A,No,No,Yes
"Reports from Hinche indicate that families fleeing gang violence have been sheltering in overcrowded schools, with poor sanitation and food shortages.",Hinche,N/A,N/A,No,No,Yes
"The leader of the '400 Mawozo' gang released a video threatening retaliation against the PNH for recent arrests in Mirebalais.",Mirebalais,'400 Mawozo',N/A,Yes,No,No
"UNICEF announced that over 50% of children in Jérémie are at risk of malnutrition due to blocked supply routes and economic instability.",Jérémie,N/A,N/A,No,No,Yes
"Following weeks of heavy rains, flooding in Jacmel has displaced thousands, with many in need of urgent humanitarian aid.",Jacmel,N/A,N/A,No,No,Yes
"Armed groups in Carrefour have been extorting local businesses, demanding 'protection fees' to allow them to operate.",Carrefour,N/A,N/A,Yes,No,No
"The National Library in Port-au-Prince was looted by gang members, destroying rare manuscripts and artifacts of cultural significance.",Port-au-Prince,N/A,N/A,Yes,No,No
"In Grand-Goâve, several homes were set on fire during a gang raid, with families forced to flee into nearby forests for safety.",Grand-Goâve,N/A,N/A,Yes,No,No
"The World Health Organization (WHO) reported a cholera outbreak in Saint-Marc due to contaminated water sources and poor hygiene conditions.",Saint-Marc,N/A,N/A,No,No,Yes
"Amid widespread displacement, 10,000 families in Fort-Liberté are living in makeshift camps without adequate food or water.",Fort-Liberté,N/A,N/A,No,No,Yes
"Prime Minister Gary Conille was fired by the Transitional Presidential Council (CPT) on 11 November, along with his government. Discussions have been held on the legality of the dismissal.",N/A,N/A,11 November,No,No,No
"Gary Conille is succeeded by Alix Didier Fils-Aimé. Fils-Aimé and his government were inaugurated on 16 November.",N/A,N/A,16 November,No,No,No
"A new attack by the “Viv ansanm” coalition was launched in Port-au-Prince on 19 November. The attack focused on Pétion-Ville and neighbouring areas, and had been announced on social media by gang leader and spokesperson of “Viv ansanm” Jimmy Chérizier, aka Barbecue.",Port-au-Prince,"Viv ansanm, Jimmy Chérizier",19 November,Yes,No,No
"Haitian Police was able to intercept the attack on Pétion-Ville, leading to the death of 28 gang members and the confiscation of firearms, drones and munitions.",Pétion-Ville,N/A,N/A,Yes,No,No
"Jimmy Chérizier has called for the departure of the transitional presidential council, threatening to use all means necessary to achieve this goal amid escalating violence and political turmoil in Port-au-Prince.",Port-au-Prince,Jimmy Chérizier,N/A,Yes,No,No
"Gangs from the coalition “Viv ansanm” announced attacks on several neighborhoods in Port-au-Prince on 11 November, leading to the closure of schools and businesses.",Port-au-Prince,"Viv ansanm",11 November,Yes,No,No
"The same day, clashes occurred between the Haitian National Police and gang members at the airport intersection, with reports of gunfire and fires in the Solino neighborhood. As a result, an airplane from Spirit Airlines was forced to land in the Dominican Republic.",Port-au-Prince,N/A,11 November,Yes,No,No
"The airport was targeted again on 18 November, with homes and businesses looted and set on fire.",Port-au-Prince,N/A,18 November,Yes,No,No
"Following this incident, the Federal aviation administration banned all commercial flights to and from Haiti for 30 days following the recent violence, leading airlines to cancel operations.",N/A,N/A,18 November,No,No,No
"Attacks by gang members on 12 November led to the murder of a doctor. In Aral, residents reported a manhunt for police and their families, with gang members displaying their weapons throughout the night.",Aral,N/A,12 November,Yes,No,No
"Gang members attempted to take over areas in Belvue and Bèl vil on 14 November. There were also reports of vigilante groups searching people on the streets across Port-au-Prince. Two gang leaders were killed by the Haitian police.",Port-au-Prince,N/A,14 November,Yes,No,No
"The import of supplies from the Varreux terminal (port) ceased on 14 November causing fuel shortages across the country. In Delmas and Pétion-Ville, large crowds of residents started withdrawing cash from the banks.",Delmas,N/A,14 November,No,No,Yes
"The closure of the airport and port will lead to a shortage of supplies, including medical supplies, for which Haiti depends heavily on import.",N/A,N/A,N/A,No,No,Yes
"Over 20,000 people have been displaced in Port-au-Prince in just four days due to the escalating gang violence, with many sheltering in camps, while criminal groups expand their control and access to the city becomes increasingly restricted, with aid delivery facing significant challenges.",Port-au-Prince,N/A,N/A,Yes,No,Yes
"Médecins Sans Frontières (MSF) has suspended its activities in Port-au-Prince due to mistreatment of staff members by Haitian Police officers, including rape and threats of death. The decision will take effect on 20 November.",Port-au-Prince,N/A,20 November,No,Yes,No
"In October, 27,336 Haitians were deported from the Dominican Republic, with many facing violence and inhumane conditions during their expulsion, prompting the Support Group for Repatriates and Refugees GARR to condemn the mass deportations and mistreatments.",N/A,N/A,October,No,No,No
"Aside from the 27,336 Haitians deported, 16,306 voluntarily returned to Haiti out of fear of deportation, while 6,601 others were turned away at the border.",N/A,N/A,October,No,No,No
"There has been a 1000% increase in sexual violence against girls in Haiti, with 43 cases reported in 2023 compared to 400 reported cases in 2024.",N/A,N/A,2024,No,Yes,No
"The humanitarian crisis in Haiti has led to rising food insecurity, with half of the population—approximately 5.4 million people—facing hunger, and for the first time since 2022, pockets of famine have emerged in areas where displaced individuals reside.",N/A,N/A,N/A,No,No,Yes
"The United Nations Humanitarian Air Service (UNHAS) stated they will resume flights in Haiti on 20 November, facilitating humanitarian operations.",N/A,N/A,20 November,No,No,No
"The Catholic bishops of Haiti issued a statement expressing deep concern over the country’s political and security crises, calling for peace and national unity while denouncing the violence that has led to widespread suffering, displacement, and the paralysis of daily life in the capital.",Port-au-Prince,N/A,N/A,No,No,No
"A shootout took place between gang members and Kenyan and Haitian police officers on 15 October, resulting in around 20 gang members being killed and the second-in-command of the Kraze Baryè gang being injured.",N/A,Kraze Baryè,15 October,Yes,No,No
"The West and Arbonite departments have been plagued by assaults from the Viv Ansanm coalition since 16 October. One person was killed in an attack on 16 October in Magloire Ambroise street.",West and Arbonite departments,Viv Ansanm,16 October,Yes,No,No
"Gang members opened fire at a commemoration of the assassination of Jean-Jacques Dessalines on 17 October at which members of the Transitional Presidential Council (CPT) were present.",Port-au-Prince,N/A,17 October,Yes,No,No
"The same day, Tabarre was targeted by gang members carrying automatic rifles, setting houses on fire and forcing residents to flee their homes. Despite police interventions in the area, the situation in Tabarre has remained tense.",Tabarre,N/A,17 October,Yes,No,No
"Due to the unrest in the capital city, the swearing-in ceremony of the Provisional Electoral Council (CEP), held on 18 October, was moved from the Court of Cassation to the School of Magistrates. The members of the CEP were successfully sworn in.",Port-au-Prince,N/A,18 October,No,No,No
"An assault was launched in Delmas 24 and Solino by the Bel-Air gang on 18 October, with houses burnt down and a young girl murdered. The attacks continued until the Haitian National Police (PNH) and the Haitian Armed Forces (FADH) were deployed the following day.",Delmas 24 and Solino,Bel-Air gang,18 October,Yes,No,No
"The unrest in Port-au-Prince since 16 October has displaced 4,201 people, bringing the total number of displaced people in Haiti to over 700,000.",Port-au-Prince,N/A,16 October,No,No,Yes
"Former senator Guy Philippe has been mobilising people to protest against the current government and called for an armed uprising on 17 October. In Jérémie, hundreds of protestors took to the streets.",Jérémie,Guy Philippe,17 October,Yes,No,No
"The commune of Arcahaie, in the West department, was attacked both by land and sea on 21 October, leading to the displacement of 4,674 people. In L’Estère, in the Upper Artibonite region, gang members opened fire on a school, injuring several students and killing a parent.",Arcahaie,N/A,21 October,Yes,No,No
"A police intervention in Croix-des-Bouquets in the night of 19 to 20 October led to the death of 10 gang members, as well as the seizure of arms and equipment.",Croix-des-Bouquets,N/A,20 October,Yes,No,No
"Reacting to the ongoing insecurity and violence in Port-au-Prince, the Minister of Justice and Public Security, Me Carlos Hercule, stated that people should remain patient as the ongoing strategic preparations will take time to yield results on the ground.",Port-au-Prince,N/A,N/A,No,No,No
"Hercule mentioned the presence of “dark forces” that armed civilians and children 20 years ago and continue to destabilise the country. He also confirmed that there would be a significant increase in the budget allocation for strengthening the Haitian security forces for 2024-2025.",N/A,N/A,N/A,No,No,No
"The death toll of the massacre in Pont-Sondé, which took place at the start of October, has risen to 115 people. It is expected that the number of casualties will rise further as bodies are still being found.",Pont-Sondé,Gran Griff,October,Yes,No,No
"The leader of the “Gran Griff” gang has threatened a new imminent attack on Pont-Sondé.",Pont-Sondé,Gran Griff,N/A,Yes,No,No
"Tensions between the CPT and government of Haiti have increased since Leslie Voltaire succeeded Edgard Leblanc Fils as the president of the council.",N/A,N/A,N/A,No,No,No
"700 new police officers were appointed on 20 October.",N/A,N/A,20 October,No,No,No
"169 Haitians were rescued from an overloaded boat which was taking on water south of the Turks and Caicos Islands and they were repatriated to Haiti. Earlier in the week, 32 Haitian people were intercepted on an overcrowded boat by the Royal Turks and Caicos Islands Police.",Turks and Caicos Islands,N/A,N/A,No,No,No
"13,703 Haitians were deported from the Dominican Republic in the first 13 days of October. Three Haitians who tried to illegally cross the border to the Dominican Republic were shot and brought to the hospital by Dominican military personnel.",Dominican Republic,N/A,October,No,No,No
"The ministry of health has mobilised support at the three main return points for Haitian expelled from the Dominican Republic: Ouanaminthe, Belladère and Anse-à-Pitre.",N/A,N/A,N/A,No,No,No
"More than 70 people died in an attack from the gang “Gran Grif” in Pont-Sondé during the night of 2-3 October. The attack stemmed from resistance by drivers in Pont-Sondé who refused to pay the toll demanded by the gang at Carrefour Pèye earlier in the day.",Pont-Sondé,Gran Griff,2 October,Yes,No,No
"The nearest hospital, Saint-Nicolas Hospital, was already overwhelmed prior to the massacre by escalating violence in Lower Artibonite, with hospital staff working continuously to manage the influx, despite resource shortages.",Saint-Nicolas Hospital,N/A,N/A,No,No,No
"Leslie Voltaire, representing the party Fanmi Lavalas, replaced Edgard Leblanc Fils in the rotating presidency of the Transitional Presidential Council (CPT) on 7 October. Smith Augustin and Louis Gérald Gilles, who were both accused of corruption, have been removed from the rotating presidency.",N/A,N/A,7 October,No,No,No
"The Haitian situation and the MSS were discussed in the Munich security conference on 18 February. The panelists included the Kenyan National Security Advisor, Monica Juma, and the National Security Advisor to the Vice-President of the US, Phil Gordon.",N/A,N/A,18 February,No,No,No
"Over 3,600 people have been killed due to gang violence in Haiti since January, whilst over 700,000 people are displaced in the country, the majority of which are children. The number of Internally Displaced People (IDPs) increased by 22% since June.",N/A,N/A,January,Yes,No,Yes
"One in six children in Haiti are one step away from famine conditions, according to Save the Children. The number of children at risk of famine increased by 20% over the past 6 months.",N/A,N/A,N/A,No,No,Yes
"Due to the soaring inflation, food costs currently amount to 70% of household spending.",N/A,N/A,N/A,No,No,Yes
"The Haitian government has announced the creation of a Provisional Electoral Council (CEP) tasked with organising a referendum in spring 2025 and a general election before 7 February 2026. The CEP consists of seven members representing different sectors in Haiti.",N/A,N/A,spring 2025,No,No,No
"The truce between gangs in Cité-Soleil was broken on 12 September due to disagreements related to a penalty in a football match. It is not yet clear how many people have been killed in the unrest that has followed, although it has been reported that the second leader of Simon Pelé’s gang has died.",Cité-Soleil,Simon Pelé's gang,12 September,Yes,No,No
"The clashes in Cité-Soleil and Delmas have displaced 2,300 people.",Cité-Soleil and Delmas,N/A,N/A,Yes,No,No
"Activities in the centre of Port-au-Prince are slowly starting up again, with businesses opening up and heavy traffic in some areas.",Port-au-Prince,N/A,N/A,No,No,No
"The general hospital remains closed, leaving the Peace University Hospital to be the only functioning hospital in the metropolitan area, and often functioning at overcapacity.",Port-au-Prince,N/A,N/A,No,No,No
"27 people died and over 30 were injured in an accidental fuel tanker explosion in Miragoâne.",Miragoâne,N/A,N/A,No,No,No
"Haiti’s government has relaunched a multisectoral emergency programme to support vulnerable groups, focusing on cash transfers for parents in public schools, along with projects targeting food security, small businesses, and social reintegration, funded by the national treasury and the IMF.",N/A,N/A,N/A,No,No,Yes
"The Prime Minister’s Office has indicated that the government is doing everything possible to strengthen the security of Port-au-Prince’s port to facilitate the circulation and docking of boats.",Port-au-Prince,N/A,N/A,No,No,No
"A police officer was killed in Delmas on 23 September, while another officer was injured. They were attacked by armed men on a minibus.",Delmas,N/A,23 September,Yes,No,No
"The director of the National Office of Migration was murdered by armed men on 18 September, while the top lawyer Artist Rémy, who was also the Secretary General of the Fort-Liberté bar association, was shot dead in Ouanaminthe on 16 September.",Ouanaminthe,Armed men,16 September,Yes,No,No
"There was a 22% increase in Internally Displaced People (IDP) in Haiti between August and 4 September 2024. The increase was partially fueled by violence in Gressier, displacing 5000 people. The number of IDPs in Port-au-Prince decreased by 6%. Approximately half of IDPs are children.",Haiti,N/A,August-4 September,Yes,No,Yes
"Tensions between displaced and host communities have been rising, especially in the metropolitan area of Port-au-Prince.",Port-au-Prince,N/A,N/A,No,No,No
"Over 17,300 Haitians were forcibly returned by neighbouring countries in August. Many of these faced mistreatment and violence.",Haiti,N/A,August,No,Yes,No
"The Dominican Republic continues to deport large numbers of Haitian nationals, including 59 unaccompanied minors in September, sparking concern from Haitian officials. They demand that the Dominican government respect diplomatic agreements, particularly regarding child protection.",Dominican Republic,N/A,September,No,No,No
