title,url,Place,Date,Who is involved,Perpetrator,Protests,Gang Violence,Famine,Migration,Sexual Violence,Shootings
"Haiti Situation Report 12, 12 June 2024",https://www.eepa.be/?p=8354,Haiti Delmas Watapana Jacmel United States Cap Haïtien Nazon Haiti Haiti Haiti Port - au - Prince C ##ité Soleil Port Prince Haiti Port Prince Haiti ,,Garry Conille Con ##ille Jimmy Chérizier Bar ,Interior and Local Authorities Minist Anti - Gang Unit UTAG UTAG Haitian National Police Force Haitian National Police Force ID WFP ID ##FP Haitian UN ,Yes,No,No,No,No,No
"Haiti Situation Report 11, 29 May 2024",https://www.eepa.be/?p=8320,Croix - des - Bo ##quets C ##abaret Gressier US Port - au - Prince Thomazeau Bassin - Bleu International Airport Toussaint Louverture Port - au - Prince Port - au - Prince Port - au - Prince Haiti Artibonite Center North North East South Haiti Republic US Haiti US Haiti ,,,Haitian Ma American Médecins Sans Frontières MSF MSF Di Haitian Dominican Haitian UN Haitian International ,No,No,No,No,No,No
"Haiti Situation Report 10, 15 May 2024",https://www.eepa.be/?p=8284,Port - au - Prince Solino Delmas Gressier Port - au - Prince Cap Haïtien Port - au - Prince To ##ussaint Louverture Port - au - Prince Vod West Africa Haiti Haiti US Port US Port ,,Jean Ardouin Louis Charles ,National Police Force CPT ID American Airlines ##ou Haitian Haitian National Police El Multi MS CP Kenyan R MS Kenyan Prince Kenyan Prince ,No,No,No,No,No,No
"Haiti Situation Report 9, 1 May 2024",https://www.eepa.be/?p=8249,Port - au - Prince Champ - de - Mars Carrefour de ’ A ##ort Delmas Delmas Solino Varreux Arcahaie Port - au - Prince Port - au - Prince Les Cayes Port - au - Prince Port - au - Prince Haiti Haiti Port - au - Prince ,,Jimmy Chérizier ,l ##érop Faculty of Medicine and Pharmacy Le Nouvelliste HIV AIDS TB CNN FBI ,No,No,No,Yes,No,Yes
"Haiti Situation Report 8, 17 April 2024",https://www.eepa.be/?p=8174,Haiti Toussaint Louverture Port - au - Prince Haiti Guy Malary National Airport Mirebalais Arboni ##te Haiti Haiti Haiti Cité Soleil Haiti ,,,Presidential Transitional Council Haitian Haitian National Police Haiti National Police Armed Forces of Haiti Haitian National Police PNH National School of Art UNESCO European Union Human EC Pan American Organization World Organization PA WHO Haiti World Organization WHO Port C C Marie Da France ,Yes,Yes,Yes,No,Yes,No
"Haiti Situation Report 7, 3 April 2024","http://Unrest in Pétion-Ville; Over 1,500 people killed in Haiti in 2024 so far; 18 health facilities in Port-au-Prince no longer operational",Pétion - Ville Haiti Port - au - Prince ,,,,Yes,No,No,No,No,No
"Haiti Situation Report 6, 20 March 2024",http://Haiti Prime Minister Ariel Henry announced resignation; gang attacks on institutions continue; 40% of Haitians acutely food insecure,Haiti ,,Ariel Henry ,Haitian ,No,Yes,No,No,No,No
"Haiti Situation Report 5, 6 March 2024",http://Coordinated attacks have taken place all over the country; two prisons in Haiti stormed by gang members; the main international airport has been shut down,,,,,No,Yes,No,No,No,No
"Haiti Situation Report 4, 21 February 2024",https://www.eepa.be/?p=8089,Morne à Cabrit Jé ##mie Bonbon Abricots P ##étillon - Ville Dominican Republic Ouanaminthe Dominican Republic Haiti Port - au - Prince Haiti Haiti Port - au - Prince Haiti ,,Jean - Charles Moïse Guy Philippe ,Ma Belladère Transport Union Protected Areas Security Brigade BSAP National Haitian Police PNH UN ID UNICEF UNICEF ,Yes,Yes,Yes,Yes,Yes,Yes
"Haiti Situation Report 3, 7 February 2024",https://www.eepa.be/?p=8086,Haiti Pé - Ville Port - au - Prince Port - au - Prince Haiti Cap Haitien O ##uanaminthe Port - au - Prince ##ef Port - au - Prince Martissant Mariani ##ef ##eu ##nier Croix des Bouquets Bel - Air Artibonite Carrefour ,,Ariel Henry Guy Philippe Guy Philippe Jean Charles Moï Jacques Anderson D ,Haitian ##tion Ptit Dessalines Party Protected Areas Security Brigade BSAP Anti - Corruption Trade Union Brigade BSAC ##écro Carr ##our Carr ##our f ##illes Per National Agency Protected Areas ANAP Joseph Haitian Haitian National Police PNH Haitian FADH Haitian ANAP Ministry Environment ANAP ,No,No,No,No,No,No
"Haiti Situation Report 2, 23 January 2024",https://www.eepa.be/?p=8082,Port - au - Prince Mariani Mariani 2 La Saline Alerte Bel ’ air Laraque Muller Maya Port - au - Prince Solino Haiti Haiti ,,Guy Philippe Ariel Henri Guy Philippe Guy Philippe ,Haitian National Police Force PNH National Road # Bel - Air Kempes Council Haitian Haitian American Pa Haitian ,No,Yes,No,No,No,No
"Haiti Situation Report 1, December 2023",https://www.eepa.be/?p=8064,Haiti Haiti National Highway # 1 Haiti Haiti Haiti US Canada Kenya Senegal Chile Jamaica Ecuador Barbados ##elles US US US ,,U ##l ##rika Richardson Ariel Henry ,Haitian UN Human Rights Office the Commissioner OHCHR UN MS UN Security Council UN G - Pèp UN Multinational Security Support M UN Security Council Kenyan Multinational Security Support MSS Haitian Se Haitian Antony MS UN ,Yes,Yes,Yes,Yes,Yes,Yes
